energy_use_total,new_concept,geo,year
1718000,aaa,alb,1971
1942000,aaa,alb,1972
1752000,aaa,alb,1973
1826000,aaa,alb,1974
1988000,aaa,alb,1975
2190000,aaa,alb,1976
2322000,aaa,alb,1977
2594000,aaa,alb,1978
2262000,aaa,alb,1979
3072000,aaa,alb,1980
2697000,ff,alb,1981
2692000,ff,alb,1982
2844000,ff,alb,1983
2957000,ff,alb,1984
2717000,ff,alb,1985
2913000,ff,alb,1986
2842000,ff,alb,1987
2915000,ff,alb,1988
2893000,ff,alb,1989
2673000,ff,alb,1990
1871000,ggg,alb,1991
1358000,ggg,alb,1992
1331000,ggg,alb,1993
1417000,ggg,alb,1994
1331000,ggg,alb,1995
1421000,ggg,alb,1996
1213000,ggg,alb,1997
1309000,ggg,alb,1998
1762000,ggg,alb,1999
1780000,ggg,alb,2000
1801000,ggg,alb,2001
2006000,ggg,alb,2002
2005000,ggg,alb,2003
2204000,ggg,alb,2004
2206000,ggg,alb,2005
2092000,eee,alb,2006
2050000,eee,alb,2007
2086000,eee,alb,2008
2085000,eee,alb,2009
2077000,eee,alb,2010
3467000,eee,dza,1971
4023000,eee,dza,1972
4825000,eee,dza,1973
5189000,eee,dza,1974
5524000,eee,dza,1975
6304000,eee,dza,1976
7055000,eee,dza,1977
8686000,eee,dza,1978
11000000,eee,dza,1979
11210000,eee,dza,1980
12190000,eee,dza,1981
15870000,eee,dza,1982
17150000,eee,dza,1983
17000000,eee,dza,1984
17750000,eee,dza,1985
20050000,eee,dza,1986
19800000,eee,dza,1987
20900000,eee,dza,1988
20720000,eee,dza,1989
22190000,eee,dza,1990
23480000,eee,dza,1991
24130000,eee,dza,1992
24130000,eee,dza,1993
23260000,eee,dza,1994
24110000,eee,dza,1995
23490000,eee,dza,1996
24070000,eee,dza,1997
24910000,eee,dza,1998
26600000,eee,dza,1999
27020000,eee,dza,2000
27090000,eee,dza,2001
28800000,eee,dza,2002
30720000,eee,dza,2003
31000000,eee,dza,2004
32370000,eee,dza,2005
34690000,eee,dza,2006
36820000,eee,dza,2007
37440000,eee,dza,2008
40750000,eee,dza,2009
40370000,eee,dza,2010
3851000,eee,ago,1971
4146000,eee,ago,1972
4131000,eee,ago,1973
4220000,eee,ago,1974
4121000,eee,ago,1975
4073000,eee,ago,1976
4015000,eee,ago,1977
4417000,eee,ago,1978
4478000,eee,ago,1979
4563000,eee,ago,1980
4593000,eee,ago,1981
4531000,eee,ago,1982
4657000,eee,ago,1983
4705000,eee,ago,1984
4990000,eee,ago,1985
5048000,eee,ago,1986
5170000,eee,ago,1987
5379000,eee,ago,1988
5499000,eee,ago,1989
5883000,eee,ago,1990
6024000,eee,ago,1991
6058000,eee,ago,1992
6274000,eee,ago,1993
6359000,eee,ago,1994
6399000,eee,ago,1995
6630000,eee,ago,1996
6821000,eee,ago,1997
6856000,eee,ago,1998
7247000,eee,ago,1999
7499000,eee,ago,2000
7883000,eee,ago,2001
8304000,eee,ago,2002
9003000,eee,ago,2003
9766000,eee,ago,2004
9375000,eee,ago,2005
10200000,eee,ago,2006
10970000,eee,ago,2007
11860000,eee,ago,2008
12600000,eee,ago,2009
13670000,eee,ago,2010
98830,eee,atg,1990
135000,eee,atg,2004
137000,eee,atg,2005
143000,eee,atg,2006
146000,eee,atg,2007
33650000,eee,arg,1971
34200000,eee,arg,1972
35600000,eee,arg,1973
36300000,eee,arg,1974
35950000,eee,arg,1975
37190000,eee,arg,1976
38200000,eee,arg,1977
38900000,eee,arg,1978
41110000,eee,arg,1979
41820000,eee,arg,1980
40840000,eee,arg,1981
41070000,eee,arg,1982
41800000,eee,arg,1983
43330000,eee,arg,1984
41340000,eee,arg,1985
43880000,eee,arg,1986
46270000,eee,arg,1987
47860000,eee,arg,1988
46510000,eee,arg,1989
46070000,eee,arg,1990
47490000,eee,arg,1991
49960000,eee,arg,1992
49930000,eee,arg,1993
53440000,eee,arg,1994
54040000,eee,arg,1995
55600000,eee,arg,1996
58530000,eee,arg,1997
60080000,eee,arg,1998
60420000,eee,arg,1999
60950000,eee,arg,2000
57840000,eee,arg,2001
55390000,eee,arg,2002
59050000,eee,arg,2003
67300000,eee,arg,2004
66970000,eee,arg,2005
73130000,eee,arg,2006
73670000,eee,arg,2007
76660000,eee,arg,2008
74530000,eee,arg,2009
74630000,eee,arg,2010
7697000,eee,arm,1990
8112000,eee,arm,1991
4117000,eee,arm,1992
2179000,eee,arm,1993
1366000,eee,arm,1994
1632000,eee,arm,1995
1769000,eee,arm,1996
1849000,eee,arm,1997
1884000,eee,arm,1998
1821000,eee,arm,1999
2003000,eee,arm,2000
1998000,eee,arm,2001
1868000,eee,arm,2002
1970000,eee,arm,2003
2083000,eee,arm,2004
2505000,eee,arm,2005
2546000,eee,arm,2006
2845000,eee,arm,2007
2997000,eee,arm,2008
2601000,eee,arm,2009
2445000,eee,arm,2010
31480000,eee,aus,1960
32660000,eee,aus,1961
34080000,eee,aus,1962
35960000,eee,aus,1963
37400000,eee,aus,1964
39440000,eee,aus,1965
41320000,eee,aus,1966
43570000,eee,aus,1967
45200000,eee,aus,1968
46510000,eee,aus,1969
50820000,eee,aus,1970
51610000,eee,aus,1971
53170000,eee,aus,1972
57060000,eee,aus,1973
58930000,eee,aus,1974
60380000,eee,aus,1975
61830000,eee,aus,1976
66290000,eee,aus,1977
66470000,eee,aus,1978
67980000,eee,aus,1979
69600000,eee,aus,1980
70080000,eee,aus,1981
73120000,eee,aus,1982
70100000,eee,aus,1983
72300000,eee,aus,1984
72820000,eee,aus,1985
74010000,eee,aus,1986
77500000,eee,aus,1987
78870000,eee,aus,1988
84040000,eee,aus,1989
86230000,eee,aus,1990
85160000,eee,aus,1991
86730000,eee,aus,1992
91170000,eee,aus,1993
91260000,eee,aus,1994
92560000,eee,aus,1995
98950000,eee,aus,1996
101300000,eee,aus,1997
103900000,eee,aus,1998
106200000,eee,aus,1999
108100000,eee,aus,2000
105800000,eee,aus,2001
109500000,eee,aus,2002
110900000,eee,aus,2003
111000000,eee,aus,2004
114200000,eee,aus,2005
116000000,eee,aus,2006
119800000,eee,aus,2007
124200000,eee,aus,2008
126000000,eee,aus,2009
124700000,eee,aus,2010
119800000,eee,aus,2011
10900000,eee,aut,1960
11010000,eee,aut,1961
11950000,eee,aut,1962
13090000,eee,aut,1963
13400000,eee,aut,1964
13460000,eee,aut,1965
13930000,eee,aut,1966
14170000,eee,aut,1967
15170000,eee,aut,1968
16230000,eee,aut,1969
18060000,eee,aut,1970
18820000,eee,aut,1971
19820000,eee,aut,1972
21480000,eee,aut,1973
20750000,eee,aut,1974
20120000,eee,aut,1975
21690000,eee,aut,1976
21170000,eee,aut,1977
21880000,eee,aut,1978
23700000,eee,aut,1979
23150000,eee,aut,1980
21930000,eee,aut,1981
21440000,eee,aut,1982
21500000,eee,aut,1983
22330000,eee,aut,1984
